Government level,State/UT,Ministry,Department,Category,Source name,Official URL,API URL,Has API,Formats,Has schemes,Has facility DB,Has registration data,Data fields,Update frequency,Reuse/licensing,Access method,Research status,Notes,Last checked
central,,MeitY / NIC,Open Government Data (OGD) Platform India,mixed,data.gov.in,https://www.data.gov.in,https://api.data.gov.in,Y,api; csv; excel; json; xml,N,N,N,Varied datasets published by ministries/states,Varies by dataset,"GODL-India (Government Open Data License – India): commercial + non-commercial reuse permitted, with attribution.",Free API key (32-char) or bulk download,researched,Single-point access to datasets from all ministries/states. Best programmatic entry point; search for facility/scheme datasets here first.,2026-08-09
central,,MeitY / NeGD,myScheme,schemes,myScheme,https://www.myscheme.gov.in,,N,html,Y,N,N,Scheme name; Category; Level (central/state); Eligibility; Benefits; Documents required; Application URL; State/UT,Ongoing,Reuse terms not stated — confirm before redistribution.,Portal search (no documented open API),researched,2300+ Central & State/UT schemes across 15 categories. Internal JSON API exists but is not officially published — do not scrape without confirming terms.,2026-08-09
central,,MeitY / NIC,National Portal of India,mixed,India.gov.in,https://www.india.gov.in,,N,html,Y,N,N,Government services directory; Scheme links; Department links,,Confirm; largely links to source departments.,Portal,partial,Directory/aggregator; use to discover authoritative department sources.,2026-08-09
central,,NITI Aayog / NIC,NGO DARPAN,registration,NGO DARPAN,https://ngodarpan.gov.in,,N,html,Y,N,Y,NGO/VO name; DARPAN ID (Unique ID); Registration type; Sector/field of work; State/district; Contact,Ongoing (voluntary registration),Confirm; some NGO data mirrored on data.gov.in.,Portal search (no official public API),researched,National NGO/VO database + grant-scheme listings. Primary source for NGO discovery & the org-verification badge.,2026-08-09
central,,Ministry of Rural Development,National Social Assistance Programme (NSAP),schemes,NSAP Portal,https://nsap.nic.in,,N,html; pdf,Y,N,N,Scheme (IGNOAPS/IGNWPS/IGNDPS/NFBS/Annapurna); Beneficiary category; Eligibility; Benefit amount; State/district reports,Periodic,Public scheme information; confirm bulk reuse.,Portal + reports; beneficiary data via state portals,researched,"Central pensions for old age (IGNOAPS), widows (IGNWPS), disability (IGNDPS), plus NFBS & Annapurna. Implemented via states.",2026-08-09
central,,Ministry of Women & Child Development,Mission Vatsalya,facilities,Mission Vatsalya,https://missionvatsalya.wcd.gov.in,,N,html; pdf,Y,Y,Y,"Child Care Institution (CCI) name; Type (children's home, open shelter, observation home, SAA, etc.); JJ Act registration; Capacity; District/state",Ongoing,Restricted; child-safety sensitive.,Portal (state/district/institution login) + guideline PDFs,researched,Child Care Institutions under the JJ (Care & Protection) Act 2015. Requires strong verification & safety handling for children's data.,2026-08-09
central,,Ministry of Women & Child Development,Central Adoption Resource Authority (CARA),facilities,CARA,https://cara.wcd.gov.in,,N,html; pdf,N,Y,Y,Specialized Adoption Agency (SAA) name; State/district; Recognition status; Contact,Ongoing,Restricted; adoption-sensitive.,Portal + PDF lists,researched,Adoption regulator; authoritative list of Specialized Adoption Agencies.,2026-08-09
central,,Ministry of Social Justice & Empowerment,Dept. of Social Justice & Empowerment — Senior Citizens / SAGE,mixed,SAGE (Seniorcare Ageing Growth Engine),https://scw.dosje.gov.in,,N,html,Y,N,N,Senior-care products & services; Startups; IPSrC (old-age home grants),,Confirm.,Portal,researched,SAGE lists credible senior-care startups/services. IPSrC (Integrated Programme for Senior Citizens) funds old-age homes via NGOs. Elderline helpline 14567.,2026-08-09
central,,Ministry of Social Justice & Empowerment,DEPwD — Manoashraya dashboard,facilities,Manoashraya (Mental Health Institutions dashboard),https://halfwayhomes.disabilityaffairs.gov.in,,N,html,N,Y,N,Mental health institution; Rehabilitation home; Halfway home; State/UT; Counts/occupancy,Uploaded by States/UTs,Government dashboard; confirm reuse.,Portal / dashboard,researched,"DEPwD dashboard created per Supreme Court directions — mental-health institutions, rehabilitation & halfway homes. Key source for the mental-health category.",2026-08-09
central,,Ministry of Social Justice & Empowerment,Dept. of Empowerment of Persons with Disabilities (DEPwD),mixed,DEPwD,https://depwd.gov.in,,N,html; pdf,Y,Y,N,"Disability schemes (ADIP, DDRS); District Disability Rehabilitation Centres (DDRCs); National Institutes",,Confirm.,Portal + PDF,researched,"Disability schemes, DDRCs, National Institutes, assistive-device (ADIP) scheme.",2026-08-09
central,,Ministry of Social Justice & Empowerment,DEPwD — Unique Disability ID (UDID),registration,UDID / Swavlamban Card,https://www.swavlambancard.gov.in,,N,html,N,N,Y,PwD name; UDID number; Disability type & %; District; Disability certificate,,Personal data — NOT open. Aggregate statistics only.,Portal (individual login),researched,National PwD registration database + disability certificate issuance. Do not ingest personal records; use only aggregate stats.,2026-08-09
central,,Ministry of Women & Child Development,Mission Shakti (Sambal & Samarthya),mixed,Mission Shakti,https://missionshakti.wcd.gov.in,,N,html,Y,Y,N,One Stop Centre (Sakhi); Women Helpline 181; Shakti Sadan (women in distress/widows); Sakhi Niwas (working women hostel),,Confirm.,Portal,partial,Women-safety & empowerment. Shakti Sadan supports women in distress incl. widows. Confirm exact portal URL/datasets.,2026-08-09
central,,Ministry of Housing & Urban Affairs,DAY-NULM — Shelters for Urban Homeless (SUH),facilities,DAY-NULM (Urban Homeless Shelters),https://nulm.gov.in,,N,html; pdf,Y,Y,N,Shelter for Urban Homeless; City/ULB; Capacity; Type,,Confirm.,Portal + reports,partial,Primary source for the homeless/destitute category in urban areas.,2026-08-09
